"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Patrick Kane","CHI","F","1","evanmann","","27.8","6.95","99%","0%"
"Alex Pietrangelo","STL","D","2","evanmann","","27","9","98%","-0.1%"
"Cale Makar","COL","D","3","Maualpha","","26.4","8.8","99%","0%"
"Shea Weber","MON","D","4","MorganBu","","25.2","8.4","95%","+0.1%"
"Frederik Andersen","TOR","G","5","420","","23","7.67","100%","0%"
"John Carlson","WSH","D","6","Morgo","","22.6","7.53","100%","0%"
"Henrik Lundqvist","NYR","G","7","SNYD","","22.1","11.05","69%","-1.4%"
"Tomas Hertl","SJ","F","8","Maualpha","","21.4","7.13","98%","0%"
"Jakub Vrana","WSH","F","9","420","","21.2","7.07","85%","-0.5%"
"Matthew Tkachuk","CGY","F","10","Morgo","","20.8","5.2","99%","0%"
"Evgeny Kuznetsov","WSH","F","11","SNYD","","20.6","6.87","98%","-0.2%"
"Tom Wilson","WSH","F","12","SNYD","","20.6","6.87","88%","-0.1%"
"Thomas Greiss","NYI","G","13","SNYD","WPG 1<br/>@NYI 4 F","20.2","10.1","71%","-0.6%"
"Auston Matthews","TOR","F","14","MorganBu","","19","6.33","100%","0%"
"Jordan Binnington","STL","G","15","Maualpha","","18.1","9.05","99%","0%"
"Reilly Smith","VGK","F","16","MorganBu","","17.8","5.93","83%","-0.2%"
"Brady Tkachuk","OTT","F","17","The_Face","","17.6","4.4","92%","-0.4%"
"Martin Jones","SJ","G","18","evanmann","","17.4","5.8","86%","-0.9%"
"Timo Meier","SJ","F","19","Morgo","","17.4","5.8","91%","-0.5%"
"Evander Kane","SJ","F","20","The_Face","","17.2","5.73","96%","0%"
"Tony DeAngelo","NYR","D","21","Timbo","","17.2","5.73","78%","+0.1%"
"Carter Hart","PHI","G","22","ErikErla","","17.1","8.55","93%","-0.5%"
"Artemi Panarin","NYR","F","23","Maualpha","","16.8","5.6","97%","-0.1%"
"Carey Price","MON","G","24","420","","16.7","5.57","95%","0%"
"Filip Forsberg","NSH","F","25","The_Face","","16.6","5.53","100%","0%"
"Mark Giordano","CGY","D","26","420","","16.2","4.05","99%","0%"
"David Rittich","CGY","G","27","Maualpha","","15.6","5.2","95%","-0.2%"
"Nathan MacKinnon","COL","F","28","The_Face","","15","5","100%","0%"
"Connor Hellebuyck","WPG","G","29","Timbo","WPG 1<br/>@NYI 4 F","15","7.5","98%","0%"
"Brad Marchand","BOS","F","30","ErikErla","","15","5","100%","0%"
"Connor McDavid","EDM","F","31","Maualpha","","14.6","4.87","100%","0%"
"Alex Ovechkin","WSH","F","32","SNYD","","14.6","4.87","100%","0%"
"Braden Holtby","WSH","G","33","The_Face","","14.6","7.3","99%","-0.1%"
"Roman Josi","NSH","D","34","Timbo","","14.4","4.8","100%","0%"
"David Perron","STL","F","35","Morgo","","14.2","4.73","89%","0%"
"Leon Draisaitl","EDM","F","36","SNYD","","14","4.67","100%","0%"
"Sam Reinhart","BUF","F","37","Morgo","","13.8","6.9","89%","-0.2%"
"Torey Krug","BOS","D","38","Timbo","","13.6","4.53","99%","0%"
"Logan Couture","SJ","F","39","The_Face","","13.6","4.53","93%","-0.2%"
"Evgeni Malkin","PIT","F","40","evanmann","","13.6","4.53","98%","0%"
"Patrice Bergeron","BOS","F","41","evanmann","","13.4","4.47","100%","0%"
"Ryan Suter","MIN","D","42","ErikErla","","13.4","4.47","68%","-0.7%"
"David Pastrnak","BOS","F","43","Morgo","","13.4","4.47","100%","0%"
"Brent Burns","SJ","D","44","ErikErla","","13.2","4.4","100%","0%"
"Alex DeBrincat","CHI","F","45","Maualpha","","13.2","3.3","98%","-0.1%"
"Travis Konecny","PHI","F","46","Curt","","13","4.33","91%","-0.1%"
"Matt Duchene","NSH","F","47","ErikErla","","13","4.33","95%","-0.3%"
"Elias Lindholm","CGY","F","48","Timbo","","12.4","3.1","99%","0%"
"Ryan OReilly","STL","F","49","Curt","","12.4","4.13","99%","0%"
"J.T. Miller","VAN","F","50","Curt","","12.2","4.07","94%","-0.1%"
"William Nylander","TOR","F","51","420","","12.2","4.07","95%","+0.2%"
"Ryan Ellis","NSH","D","52","Maualpha","","12","4","97%","-0.1%"
"Dougie Hamilton","CAR","D","53","Curt","TB 3<br/>@CAR 4 F","12","4","99%","0%"
"Sean Monahan","CGY","F","54","420","","11.8","2.95","99%","-0.1%"
"Aleksander Barkov","FLA","F","55","Timbo","","11.8","5.9","100%","0%"
"Nicklas Backstrom","WSH","F","56","MorganBu","","11.8","3.93","98%","-0.1%"
"Kevin Shattenkirk","TB","D","57","ErikErla","TB 3<br/>@CAR 4 F","11.6","5.8","90%","-0.1%"
"Victor Hedman","TB","D","58","The_Face","TB 3<br/>@CAR 4 F","11.4","5.7","100%","0%"
"John Tavares","TOR","F","59","420","","11.4","3.8","99%","0%"
"Robin Lehner","CHI","G","60","Timbo","","11.3","5.65","74%","-0.4%"
"Johnny Gaudreau","CGY","F","61","ErikErla","","11.2","2.8","100%","0%"
"Anthony Mantha","DET","F","62","evanmann","DAL 3<br/>@DET 4 F","11.2","3.73","98%","0%"
